incident_date,tz,address,prefecture,incident,animal,title_detail,url
2024-05-29,夕方,東京都日野市多摩平１丁目,東京都,痴漢,False,（東京）日野市多摩平１丁目で痴漢　５月２９日夕方,http://this.kiji.is/1168541315418735401?c=134733695793120758
2024-06-12,午後,東京都大田区大森西１丁目,東京都,声かけ,False,（東京）大田区大森西１丁目で声かけ　６月１２日午後,http://this.kiji.is/1173536031639781636?c=134733695793120758
2024-05-29,夕方,東京都八王子市片倉町,東京都,下半身露出,False,（東京）八王子市片倉町で下半身露出　５月２９日夕方,http://this.kiji.is/1168539282516312927?c=134733695793120758
2024-05-29,夕方,東京都世田谷区岡本３丁目,東京都,下半身露出,False,（東京）世田谷区岡本３丁目で下半身露出　５月２９日夕方,http://this.kiji.is/1168538752996720882?c=134733695793120758
2024-05-29,午後,東京都豊島区長崎３丁目,東京都,つきまとい,False,（東京）豊島区長崎３丁目でつきまとい　５月２９日午後,http://this.kiji.is/1168536075966202488?c=134733695793120758
2024-05-29,夕方,東京都豊島区要町３丁目,東京都,下半身露出,False,（東京）豊島区要町３丁目で下半身露出　５月２９日夕方,http://this.kiji.is/1168535604313145821?c=134733695793120758
2024-05-29,昼過ぎ,東京都江戸川区中葛西１丁目,東京都,痴漢,False,（東京）江戸川区中葛西１丁目で痴漢　５月２９日昼過ぎ,http://this.kiji.is/1168535231517623123?c=134733695793120758
2024-05-29,夜,東京都新宿区白銀町,東京都,下半身露出,False,（東京）新宿区白銀町で下半身露出　５月２９日夜,http://this.kiji.is/1168533983070503669?c=134733695793120758
2024-06-12,午後,東京都羽村市川崎３丁目,東京都,下半身露出,False,（東京）羽村市川崎３丁目で下半身露出　６月１２日午後,http://this.kiji.is/1173529895836631316?c=134733695793120758
2024-04-26,,東京都大田区東雪谷４丁目,東京都,声かけ,False,（東京）大田区東雪谷４丁目で声かけ　４月２６日,http://this.kiji.is/1156562252002787423?c=134733695793120758
2024-04-26,昼過ぎ,東京都武蔵野市中町３丁目,東京都,不審な接触,False,（東京）武蔵野市中町３丁目で不審な接触　４月２６日昼過ぎ,http://this.kiji.is/1156541651496452728?c=134733695793120758
2024-06-11,夕方,東京都江戸川区大杉３丁目付近,東京都,盗撮,False,（東京）江戸川区大杉３丁目付近で盗撮　６月１１日夕方,http://this.kiji.is/1173523385979158740?c=134733695793120758
2024-04-26,夕方,東京都江東区豊洲３丁目,東京都,声かけ,False,（東京）江東区豊洲３丁目で声かけ　４月２６日夕方,http://this.kiji.is/1156535296579322531?c=134733695793120758
2024-06-12,朝,東京都江戸川区西葛西６丁目付近,東京都,盗撮,False,（東京）江戸川区西葛西６丁目付近で盗撮　６月１２日朝,http://this.kiji.is/1173521832413545229?c=134733695793120758
2024-04-26,午後,東京都国分寺市東恋ケ窪２丁目,東京都,下半身露出,False,（東京）国分寺市東恋ケ窪２丁目で下半身露出　４月２６日午後,http://this.kiji.is/1156527896739431404?c=134733695793120758
2024-04-25,午後,東京都江東区豊洲４丁目,東京都,声かけ,False,（東京）江東区豊洲４丁目で声かけ　４月２５日午後,http://this.kiji.is/1156518968263738164?c=134733695793120758
2024-04-26,午後,東京都新宿区中落合３丁目,東京都,盗撮,False,（東京）新宿区中落合３丁目で盗撮　４月２６日午後,http://this.kiji.is/1156517419410588006?c=134733695793120758
2024-04-23,夕方,東京都多摩市東寺方付近,東京都,刃物所持,False,（東京）多摩市東寺方付近で刃物所持の疑い　４月２３日夕方,http://this.kiji.is/1156498958113342328?c=134733695793120758
2024-05-29,午前,東京都文京区千石１丁目,東京都,下半身露出,False,（東京）文京区千石１丁目で下半身露出　５月２９日午前,http://this.kiji.is/1168427944749662267?c=134733695793120758
2024-04-26,昼過ぎ,東京都武蔵村山市中藤３丁目付近,東京都,暴行,False,（東京）武蔵村山市中藤３丁目付近で暴行　４月２６日昼過ぎ,http://this.kiji.is/1156485775393734679?c=134733695793120758
2024-05-21,,東京都八王子市小宮町,東京都,自動車盗,False,（東京）八王子市小宮町で自動車盗　５月２１日から２２日,http://this.kiji.is/1168382764325699672?c=134733695793120758
2024-05-28,朝,東京都多摩市豊ケ丘２丁目付近,東京都,刃物所持,False,（東京）多摩市豊ケ丘２丁目付近で刃物所持　５月２８日朝,http://this.kiji.is/1168374186221667272?c=134733695793120758
2024-05-28,夕方,東京都東久留米市柳窪１丁目,東京都,声かけ,False,（東京）東久留米市柳窪１丁目で声かけ　５月２８日夕方,http://this.kiji.is/1168349613406225359?c=134733695793120758
2024-06-11,夜,東京都八王子市みなみ野１丁目,東京都,声かけ,False,（東京）八王子市みなみ野１丁目で声かけ　６月１１日夜,http://this.kiji.is/1173466684006073229?c=134733695793120758
2024-05-28,深夜,東京都豊島区池袋本町１丁目,東京都,つきまとい,False,（東京）豊島区池袋本町１丁目でつきまとい　５月２８日深夜,http://this.kiji.is/1168343400377385286?c=134733695793120758
2024-04-26,朝,東京都多摩市連光寺６丁目,東京都,つきまとい,False,（東京）多摩市連光寺６丁目でつきまとい　４月２６日朝,http://this.kiji.is/1156407810677604615?c=134733695793120758
2024-05-28,夜,東京都西東京市北町５丁目,東京都,痴漢,False,（東京）西東京市北町５丁目で痴漢　５月２８日夜,http://this.kiji.is/1168341251873636453?c=134733695793120758
2024-06-11,夜,東京都葛飾区西新小岩４丁目,東京都,下半身露出,False,（東京）葛飾区西新小岩４丁目で下半身露出　６月１１日夜,http://this.kiji.is/1173450256681993075?c=134733695793120758
2024-06-11,夜,東京都東久留米市滝山７丁目,東京都,痴漢,False,（東京）東久留米市滝山７丁目で痴漢　６月１１日夜,http://this.kiji.is/1173425936642245167?c=134733695793120758
2024-06-12,未明,東京都江東区大島１丁目,東京都,つきまとい,False,（東京）江東区大島１丁目でつきまとい　６月１２日未明,http://this.kiji.is/1173418597352194815?c=134733695793120758
2024-06-12,未明,東京都府中市本町４丁目,東京都,痴漢,False,（東京）府中市本町４丁目で痴漢　６月１２日未明,http://this.kiji.is/1173415323244691531?c=134733695793120758
2024-04-25,深夜,東京都板橋区成増２丁目,東京都,痴漢,False,（東京）板橋区成増２丁目で痴漢　４月２５日深夜,http://this.kiji.is/1156381729610122238?c=134733695793120758
